Period_Index,Price_EUR_MWh,Optimized_Grid_Load_kW,Market_Price_EUR_MWh,Baseline_Load_kW,Net_Grid_Import_kW,PV_Generation_kW,BESS_SoC_kWh,Ambient_Temp_C,BESS_Cell_Temp_C
397,75.91,311.3,75.91,900,311.2642,0,90,12.7,14.658
398,75.91,583.2,75.91,900,583.2019,0,90,12.424999999999999,14.649
399,75.91,0,75.91,900,0,0,90,12.149999999999999,14.639
400,75.91,483.7,75.91,900,483.712,0,90,11.875,14.627
401,75.37,900,75.37,900,900,0,90,11.6,14.613
402,75.37,900,75.37,900,900,0,90,11.55,14.598
403,75.37,900,75.37,900,900,0,90,11.5,14.583
404,75.37,900,75.37,900,900,0,90,11.45,14.569
405,80.1,0,80.1,795,0,0,90,11.4,14.555
406,80.1,3.3,80.1,664.8,0,3.2503,90,11.7,14.541
407,80.1,6.5,80.1,591.7,0,6.5005,90,12,14.528
408,80.1,9.8,80.1,447.8,0,9.7508,90,12.3,14.515
409,91.7,13,91.7,150,0,13.0011,90,12.6,14.502
410,91.7,27.8,91.7,86.9,0,27.7627,90,12.925,14.489
411,91.7,42.5,91.7,0,0,42.5244,90,13.25,14.477
412,91.7,57.3,91.7,0,0,57.286,90,13.575,14.466
413,85.75,0,85.75,0,0,72.0477,90,13.9,14.454
414,85.75,0,85.75,0,0,93.039,107.1113,14.3,14.443
415,85.75,0,85.75,0,0,114.0303,129.2081,14.7,14.433
416,85.75,0,85.75,0,0,135.0217,129.2081,15.1,14.423
