Umlauf,Dienste,Linie,Fahrtnummer,Betriebstage,Planungsbedingung,Typ,Fahrtart,Fahrzeugtypgruppe,Fahrzeugtyp,Beschreibung,von,Startzeit,von (Beschreibung),nach,Endzeit,nach (Beschreibung),Dauer,Meter,_source_order,start_min,end_min,dur_min,vehicle_type,consumption_wh_per_m,battery_capacity_kwh,trip_energy_kwh,_vehicle_fallback,start_hhmm,end_hhmm
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWEDO_BP","07:36:00","Wels Nico-Dostal-Straße BP","OWENIDO1","07:36:00","Wels Nico-Dostal-Straße, Mast 1","00:00:00","0","88","456","456","0","NGB/LB12","1.2","400","0","false","07:36","07:36"
"OW02EC1","OW02EC1","700450","7004127","Alle Mo-Fr","","L","L","GB","NGB/LB12","","OWESANO2","08:11:00","Wels Noitzmühlstraße, Mast 2","OWENIDO2","08:36:00","Wels Nico-Dostal-Straße, Mast 2","00:25:00","7280","89","491","516","25","NGB/LB12","1.2","400","8.736","false","08:11","08:36"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWESANO1","08:11:00","Wels Noitzmühlstraße, Mast 1","OWENZ_BP","08:11:00","Wels Noitzmühlstraße BP","00:00:00","0","90","491","491","0","NGB/LB12","1.2","400","0","false","08:11","08:11"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWENZ_BP","08:11:00","Wels Noitzmühlstraße BP","OWESANO2","08:11:00","Wels Noitzmühlstraße, Mast 2","00:00:00","0","91","491","491","0","NGB/LB12","1.2","400","0","false","08:11","08:11"
"OW02EC1","OW02EC1","700450","7004130","Alle Mo-Fr","","L","L","GB","NGB/LB12","","OWENIDO1","08:36:00","Wels Nico-Dostal-Straße, Mast 1","OWESANO1","09:11:00","Wels Noitzmühlstraße, Mast 1","00:35:00","11910","92","516","551","35","NGB/LB12","1.2","400","14.292","false","08:36","09:11"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWENIDO2","08:36:00","Wels Nico-Dostal-Straße, Mast 2","OWEDO_BP","08:36:00","Wels Nico-Dostal-Straße BP","00:00:00","0","93","516","516","0","NGB/LB12","1.2","400","0","false","08:36","08:36"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWEDO_BP","08:36:00","Wels Nico-Dostal-Straße BP","OWENIDO1","08:36:00","Wels Nico-Dostal-Straße, Mast 1","00:00:00","0","94","516","516","0","NGB/LB12","1.2","400","0","false","08:36","08:36"
"OW02EC1","OW02EC1, OW12EC1","700450","7004135","Alle Mo-Fr","","L","L","GB","NGB/LB12","","OWESANO2","09:11:00","Wels Noitzmühlstraße, Mast 2","OWENIDO2","09:36:00","Wels Nico-Dostal-Straße, Mast 2","00:25:00","7280","95","551","576","25","NGB/LB12","1.2","400","8.736","false","09:11","09:36"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWESANO1","09:11:00","Wels Noitzmühlstraße, Mast 1","OWENZ_BP","09:11:00","Wels Noitzmühlstraße BP","00:00:00","0","96","551","551","0","NGB/LB12","1.2","400","0","false","09:11","09:11"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWENZ_BP","09:11:00","Wels Noitzmühlstraße BP","OWESANO2","09:11:00","Wels Noitzmühlstraße, Mast 2","00:00:00","0","97","551","551","0","NGB/LB12","1.2","400","0","false","09:11","09:11"
"OW02EC1","OW12EC1","700450","7004138","Alle Mo-Fr","","L","L","GB","NGB/LB12","","OWENIDO1","09:36:00","Wels Nico-Dostal-Straße, Mast 1","OWESANO1","10:11:00","Wels Noitzmühlstraße, Mast 1","00:35:00","11910","98","576","611","35","NGB/LB12","1.2","400","14.292","false","09:36","10:11"
"OW02EC1","OW12EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWENIDO2","09:36:00","Wels Nico-Dostal-Straße, Mast 2","OWEDO_BP","09:36:00","Wels Nico-Dostal-Straße BP","00:00:00","0","99","576","576","0","NGB/LB12","1.2","400","0","false","09:36","09:36"
"OW02EC1","OW12EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWEDO_BP","09:36:00","Wels Nico-Dostal-Straße BP","OWENIDO1","09:36:00","Wels Nico-Dostal-Straße, Mast 1","00:00:00","0","100","576","576","0","NGB/LB12","1.2","400","0","false","09:36","09:36"
"OW02EC1","OW12EC1, OW02EC1","700450","7004143","Alle Mo-Fr","","L","L","GB","NGB/LB12","","OWESANO2","10:11:00","Wels Noitzmühlstraße, Mast 2","OWENIDO2","10:36:00","Wels Nico-Dostal-Straße, Mast 2","00:25:00","7280","101","611","636","25","NGB/LB12","1.2","400","8.736","false","10:11","10:36"
"OW02EC1","OW12EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWESANO1","10:11:00","Wels Noitzmühlstraße, Mast 1","OWENZ_BP","10:11:00","Wels Noitzmühlstraße BP","00:00:00","0","102","611","611","0","NGB/LB12","1.2","400","0","false","10:11","10:11"
